player_id,nome,squadra,stagione,pg,mv,fantamedia,gol,gol_subiti,rig_segnati,rig_tirati,rig_parati,assist,ammonizioni,espulsioni
6967,Diao,COM,2025-26,16,6.0,6.38,2,0,0,0,0,1,2,0
5823,Baldanzi,GEN,2025-26,17,6.15,6.38,1,0,0,0,0,2,2,0
536,Politano,NAP,2025-26,33,6.09,6.36,2,0,0,0,0,5,4,0
6981,Vaz,ROM,2025-26,7,5.93,6.36,1,0,0,0,0,0,0,0
4976,Kalulu,JUV,2025-26,37,6.14,6.35,2,0,0,0,0,4,2,1
5800,Gudmundsson A.,FIO,2025-26,32,5.88,6.34,5,0,3,3,0,3,4,1
2120,Bastoni,INT,2025-26,28,6.20,6.34,1,0,0,0,0,4,6,0
5544,David,JUV,2025-26,30,5.77,6.33,6,0,0,1,0,2,0,0
2816,Di Lorenzo,NAP,2025-26,26,6.08,6.33,2,0,0,0,0,1,1,0
795,El Shaarawy,ROM,2025-26,18,6.14,6.33,1,0,0,0,0,2,4,0
7120,Lang,NAP,2025-26,14,6.04,6.32,1,0,0,0,0,2,2,0
4317,N'Dicka,ROM,2025-26,31,6.08,6.32,3,0,0,0,0,1,5,0
7211,Athekame,MIL,2025-26,17,5.94,6.32,2,0,0,0,0,2,3,0
4947,Brescianini,FIO,2025-26,18,5.97,6.31,2,0,0,0,0,1,2,0
4896,Maldini,LAZ,2025-26,18,5.94,6.31,2,0,0,0,0,1,1,0
4364,Gaetano,CAG,2025-26,32,6.06,6.31,2,0,0,0,0,4,4,0
4186,Guendouzi,LAZ,2025-26,16,6.16,6.31,2,0,0,0,0,0,5,1
6439,Cheddira,LEC,2025-26,24,5.81,6.31,4,0,0,0,0,1,3,0
554,Zappacosta,ATA,2025-26,35,6.06,6.3,3,0,0,0,0,1,3,0
6667,Benedyczak,PAR,2025-26,10,5.95,6.3,1,0,1,1,0,1,1,0
5119,Samardzic,ATA,2025-26,21,5.93,6.29,2,0,0,0,0,2,1,0
5500,Cancellieri,LAZ,2025-26,28,5.93,6.29,4,0,0,0,0,1,6,0
5504,Coulibaly L.,LEC,2025-26,33,6.05,6.29,3,0,0,0,0,1,4,0
5527,Zanoli,UDI,2025-26,19,6.05,6.29,1,0,0,0,0,2,1,0
5496,Johnsen,CRE,2025-26,9,5.83,6.28,1,0,0,0,0,1,0,0
2160,Gosens,FIO,2025-26,25,5.92,6.28,3,0,0,0,0,1,2,0
6822,Ekhator,GEN,2025-26,25,5.96,6.28,3,0,0,0,0,0,3,0
2077,Pasalic,ATA,2025-26,31,5.94,6.27,3,0,0,0,0,3,3,0
7133,Vandeputte,CRE,2025-26,31,6.06,6.27,1,0,0,0,0,5,3,0
7070,Sucic P.,INT,2025-26,28,6.07,6.27,2,0,0,0,0,2,5,0
5131,Gilmour,NAP,2025-26,13,6.08,6.27,1,0,0,0,0,0,1,0
4657,Celik,ROM,2025-26,32,6.17,6.27,1,0,0,0,0,2,2,1
5651,Harrison,FIO,2025-26,15,5.9,6.27,1,0,0,0,0,3,1,0
5336,Nzola,SAS,2025-26,27,5.96,6.26,4,0,2,3,0,1,2,1
7128,Kuhn,COM,2025-26,14,5.96,6.25,1,0,0,0,0,1,0,0
6900,Rui Modesto,UDI,2025-26,2,5.75,6.25,0,0,0,0,0,1,0,0
7353,Pedro Felipe,SAS,2025-26,2,5.75,6.25,0,0,0,0,0,1,0,0
5918,Sulemana K.,ATA,2025-26,21,6.0,6.24,2,0,0,0,0,1,4,0
4359,Piccoli,FIO,2025-26,27,5.78,6.24,4,0,0,0,0,1,1,0
4994,Vojvoda,COM,2025-26,27,6.02,6.24,2,0,0,0,0,1,2,0
2839,Sottil,LEC,2025-26,21,6.02,6.24,1,0,0,0,0,2,1,0
7249,Buksa,UDI,2025-26,21,5.88,6.24,3,0,0,0,0,0,3,0
6867,Valle,COM,2025-26,26,6.06,6.23,1,0,0,0,0,3,3,0
4465,Fagioli,FIO,2025-26,33,6.03,6.23,2,0,0,0,0,3,5,0
6485,Kristensen T.,UDI,2025-26,28,5.98,6.23,3,0,0,0,0,0,4,0
5831,Gatti,JUV,2025-26,16,5.94,6.22,2,0,0,0,0,0,3,0
779,Cristante,ROM,2025-26,37,6.11,6.22,2,0,0,0,0,1,6,0
6458,Serdar,VER,2025-26,18,5.97,6.22,2,0,0,0,0,0,3,0
6252,Folorunsho,CAG,2025-26,26,6.04,6.21,2,0,0,0,0,0,3,0
7220,Belghali,VER,2025-26,26,6.10,6.21,2,0,0,0,0,0,6,0
5813,Miretti,JUV,2025-26,15,5.97,6.2,1,0,0,0,0,1,1,0
827,Locatelli,JUV,2025-26,36,6.26,6.19,1,0,0,1,0,2,9,0
2334,Leris,PIS,2025-26,32,5.94,6.19,2,0,0,0,0,3,2,0
5453,Ricci S.,MIL,2025-26,28,6.0,6.18,1,0,0,0,0,3,3,0
4263,Kabasele,UDI,2025-26,28,5.98,6.18,3,0,0,0,0,0,5,1
5298,Pobega,BOL,2025-26,23,5.83,6.17,3,0,0,0,0,1,2,1
4210,Mina,CAG,2025-26,26,6.0,6.17,2,0,0,0,0,1,3,1
5427,Gutierrez,NAP,2025-26,21,5.98,6.17,1,0,0,0,0,1,0,0
7036,Bakola,SAS,2025-26,3,6.17,6.17,0,0,0,0,0,0,0,0
5877,Carlos Augusto,INT,2025-26,28,6.12,6.16,1,0,0,0,0,1,6,0
6202,Beukema,NAP,2025-26,22,5.93,6.16,2,0,0,0,0,0,2,0
7219,Bernasconi,ATA,2025-26,22,6.09,6.16,0,0,0,0,0,3,3,0
6815,Fadera,SAS,2025-26,24,5.92,6.15,2,0,0,0,0,1,5,0
6827,Njie,TOR,2025-26,10,5.8,6.15,1,0,0,0,0,1,2,0
5514,Vasquez,GEN,2025-26,36,6.08,6.14,1,0,0,0,0,0,2,0
